Date;Close;
26/04/2022;7.232,15;0,002241391
25/04/2022;7.215,98;-0,001332338
22/04/2022;7.225,61;-0,006952388
21/04/2022;7.276,19;0,006756415
20/04/2022;7.227,36;0,003907345
19/04/2022;7.199,23;-0,010454173
18/04/2022;7.275,29;0,005494666
14/04/2022;7.235,53;-0,003751269
13/04/2022;7.262,78;0,006652467
12/04/2022;7.214,78;0,001525143
11/04/2022;7.203,79;-0,000976449
08/04/2022;7.210,83;0,011710884
07/04/2022;7.127,37;0,003258821
06/04/2022;7.104,22;-0,006166923
05/04/2022;7.148,30;0,004508161
04/04/2022;7.116,22;0,005291606
01/04/2022;7.078,76;0,001034848
31/03/2022;7.071,44;0,002587759
30/03/2022;7.053,19;0,005918827
29/03/2022;7.011,69;-0,005378184
28/03/2022;7.049,60;0,006721968
25/03/2022;7.002,53;-0,006688644
24/03/2022;7.049,69;0,007657082
23/03/2022;6.996,12;-0,000672284
22/03/2022;7.000,82;0,006562104
21/03/2022;6.955,18;3,11012E-05
18/03/2022;6.954,96;-0,001352585
17/03/2022;6.964,38;-0,004005817
16/03/2022;6.992,40;0,010726796
15/03/2022;6.918,19;-0,004893274
14/03/2022;6.952,20;0,004276145
11/03/2022;6.922,60;-0,000203027
10/03/2022;6.924,01;0,008677603
09/03/2022;6.864,44;0,007375471
08/03/2022;6.814,18;-0,007989851
07/03/2022;6.869,07;-0,008553609
04/03/2022;6.928,33;0,008724922
02/03/2022;6.868,40;-0,007663009
01/03/2022;6.921,44;0,004830022
25/02/2022;6.888,17;0,010318705
24/02/2022;6.817,82;-0,014773916
23/02/2022;6.920,06;0,00846139
22/02/2022;6.861,99;-0,005935233
21/02/2022;6.902,96;0,001472108
18/02/2022;6.892,82;0,008441799
17/02/2022;6.835,12;-0,00220155
16/02/2022;6.850,20;0,006272668
15/02/2022;6.807,50;0,010841396
14/02/2022;6.734,49;-0,011902255
11/02/2022;6.815,61;-0,001177547
10/02/2022;6.823,64;-0,00160417
09/02/2022;6.834,61;0,006640229
08/02/2022;6.789,52;-0,002265273
07/02/2022;6.804,94;0,01092581
04/02/2022;6.731,39;0,007112672
03/02/2022;6.683,85;-0,003548303
02/02/2022;6.707,65;0,011536606
31/01/2022;6.631,15;-0,00216091
28/01/2022;6.645,51;0,005195774
27/01/2022;6.611,16;0,001566818
26/01/2022;6.600,82;0,004970331
25/01/2022;6.568,17;-0,013071524
24/01/2022;6.655,17;-0,010586245
21/01/2022;6.726,37;0,015014922
20/01/2022;6.626,87;0,005292815
19/01/2022;6.591,98;-0,00333806
18/01/2022;6.614,06;-0,004663438
17/01/2022;6.645,05;-0,007223985
14/01/2022;6.693,40;0,0052633
13/01/2022;6.658,36;0,001698647
12/01/2022;6.647,06;-0,000136173
11/01/2022;6.647,97;-0,006449411
10/01/2022;6.691,12;-0,00152088
07/01/2022;6.701,32;0,007209126
06/01/2022;6.653,35;-0,001343043
05/01/2022;6.662,30;-0,004939862
04/01/2022;6.695,37;0,004510661
03/01/2022;6.665,31;
